,shark_id,prg_no,lat,long,loc_quality,loc_date,loc_type,alt,pass,satellite,freq,msg_date,comp,msg,db_120_gt,best_level,delta_freq,long_1,late_sol_1,long_2,lat_sol_2,loc_idx,nopc,err_radius,semi_major_axis,semi_minor_axis,ellipse_orientation,gdop,depth,depthChangeDownstream,depthChangeUpstream,bearing,timeStep,distanceStep
1138,176750,6328,37.87024,-66.84448,0,2018-11-18 15:03:00,Argos,0,202,MA,401677546,11-18-18 15:01,1,4,0,-126,401677546,-66.84448,37.87024,-66.84448,37.87024,58,2,4217,52658,337,92,2848,-4803.626972,-20.87023731,-136.5394291,-86.59881828,0 days 00:00:00.000000000,2.928308433
1158,176750,6328,38.6182,-65.99025,2,2018-11-22 10:23:00,Argos,0,546,NP,401677550.7,11-22-18 10:26,1,8,0,-130,401677550.7,-65.99025,38.6182,-65.99025,38.6182,58,3,262,357,191,117,248,-4639.51172,-43.48114614,-19.78329347,63.76735133,3 days 19:20:00.000000000,126.3935809
1175,176750,6328,38.52557,-66.20234,2,2018-11-22 22:15:00,Argos,0,238,NK,401677550,11-22-18 22:13,1,6,0,-123,401677550,-66.20234,38.52557,-66.20234,38.52557,58,3,462,1725,123,64,345,-4618.516008,-35.19923181,-26.85308463,-98.27405045,0 days 11:52:00.000000000,25.7633976
1181,176750,6328,38.51728,-66.19757,0,2018-11-22 22:33:00,Argos,0,288,NN,401677544.6,11-22-18 22:33,1,3,0,-133,401677544.6,-66.19757,38.51728,-66.19757,38.51728,46,3,2226,5495,902,136,742,-4625.729407,-35.60614921,-30.74708078,165.3354146,0 days 00:18:00.000000000,1.064703628
1185,176750,6328,38.50287,-66.18943,2,2018-11-22 23:03:00,Argos,0,464,SR,401677552.4,11-22-18 22:55,1,10,0,-124,401677552.4,-66.18943,38.50287,-66.18943,38.50287,56,3,388,2267,66,103,246,-4640.532191,-34.26412559,-39.59327564,165.7893224,0 days 00:30:00.000000000,1.842361704
1200,176750,6328,38.47336,-66.21412,2,2018-11-23 0:12:00,Argos,0,531,NN,401677551.5,11-23-18 0:09,1,11,0,-124,401677551.5,-66.21412,38.47336,-66.21412,38.47336,56,3,491,2512,96,82,379,-4643.122964,-41.62876842,-48.36894688,-124.8318678,0 days 01:09:00.000000000,4.283192814
1219,176750,6328,40.05271,-65.21823,3,2018-11-27 10:32:00,Argos,0,386,NK,401677543.3,11-27-18 10:28,1,6,0,-130,401677543.3,-65.21823,40.05271,-34.54682,33.80529,60,2,181,256,127,138,408,-4381.113748,99.30725867,97.77503107,47.47312871,4 days 10:20:00.000000000,207.8477826
1225,176750,6328,40.08893,-65.22394,1,2018-11-27 11:06:00,Argos,0,259,NP,401677548.4,11-27-18 11:04,1,7,0,-131,401677548.4,-65.22394,40.08893,-65.22394,40.08893,58,3,1054,4768,233,86,1046,-4348.508886,91.0215684,117.9749068,6.801357826,0 days 00:34:00.000000000,4.081802329
1231,176750,6328,40.20682,-65.16262,1,2018-11-28 10:58:00,Argos,0,273,SR,401677558.1,11-28-18 10:57,1,5,0,-132,401677558.1,-65.16262,40.20682,-65.16262,40.20682,56,3,601,1484,243,129,474,-4336.551754,27.01619699,-28.2280111,43.24737112,0 days 23:52:00.000000000,14.79264807
1242,176750,6328,39.5549,-62.41526,0,2018-12-01 10:23:00,Argos,0,276,NP,401677607.6,12-1-18 10:20,1,3,0,-130,401677607.6,-62.41526,39.5549,-62.41526,39.5549,40,3,10076,15512,6545,135,336,-5012.512427,-15.4675872,7.695433444,119.1515451,2 days 23:25:00.000000000,314.328164
1246,176750,6328,39.42765,-62.40499,2,2018-12-01 10:36:00,Argos,0,555,NK,401677552.9,12-1-18 10:27,1,6,0,-127,401677552.9,-62.40499,39.42765,-62.40499,39.42765,56,3,387,557,268,118,239,-5053.076018,20.03274149,-42.05412625,191.4996495,0 days 00:13:00.000000000,14.21151591
1256,176750,6328,39.32054,-61.18661,1,2018-12-02 10:32:00,Argos,0,500,SR,401677558.6,12-2-18 10:31,1,4,0,-125,401677558.6,-61.18661,39.32054,-61.18661,39.32054,50,3,564,1129,281,71,303,-5040.9198,-7.539545286,-404.4765088,111.1161847,0 days 23:56:00.000000000,136.1530287
1262,176750,6328,39.38034,-60.71019,1,2018-12-02 22:48:00,Argos,0,137,SR,401677561.6,12-2-18 22:47,1,5,0,-122,401677561.6,-60.71019,39.38034,-60.71019,39.38034,57,3,811,9835,66,104,1105,-5215.650985,102.6506161,-76.68226889,99.04200202,0 days 12:16:00.000000000,53.45117755
1270,176750,6328,39.44488,-60.54119,0,2018-12-03 0:44:00,Argos,0,627,MA,401677556.4,12-3-18 0:47,1,7,0,-122,401677556.4,-60.54119,39.44488,-60.54119,39.44488,56,3,4508,74407,273,77,2811,-5053.322856,-55.37641615,-19.35383548,85.34131262,0 days 01:56:00.000000000,20.13826128
1279,176750,6328,40.78744,-59.67112,0,2018-12-04 22:10:00,Argos,0,631,NK,401677578.2,12-4-18 22:11,1,15,0,-127,401677578.2,-59.67112,40.78744,-60.66112,40.59201,50,2,2088,68128,64,79,1582,-4971.146962,28.71404179,52.14870147,49.21171327,1 days 21:26:00.000000000,178.0940558
1289,176750,6328,40.79206,-59.65279,1,2018-12-04 23:35:00,Argos,0,437,NN,401677581.4,12-4-18 23:35,1,6,0,-127,401677581.4,-59.65279,40.79206,-59.65279,40.79206,58,2,819,10082,66,79,663,-4973.4034,34.60274396,56.2157621,92.40394119,0 days 01:25:00.000000000,2.104309046
1294,176750,6328,40.80038,-59.62354,1,2018-12-04 23:57:00,Argos,0,245,NK,401677581.7,12-4-18 23:55,1,4,0,-137,401677581.7,-59.62354,40.80038,-59.62354,40.80038,56,2,942,1988,446,34,949,-4979.447797,40.60149495,51.48847878,90.67388336,0 days 00:22:00.000000000,3.385268672
1298,176750,6328,40.8045,-59.6069,1,2018-12-05 0:02:00,Argos,0,30,MA,401677584.3,12-5-18 0:02,1,2,0,-127,401677584.3,-59.6069,40.8045,-59.6069,40.8045,56,2,508,674,382,174,464,-4986.62222,45.57369537,40.47276886,92.64808319,0 days 00:05:00.000000000,1.908297011
1322,176750,6328,42.68581,-59.56694,3,2018-12-08 11:02:00,Argos,0,0,NK,401677563.7,12-8-18 10:56,2,1,0,-133,401677563.7,-59.56694,42.68581,-59.56694,42.68581,56,3,233,912,59,98,221,-4099.444874,323.0439429,56.87549885,17.77281601,3 days 11:00:00.000000000,209.4744637
1333,176750,6328,42.78415,-59.46658,1,2018-12-09 2:06:00,Argos,0,308,MA,401677563.3,12-9-18 2:03,1,5,0,-127,401677563.3,-59.46658,42.78415,-59.46658,42.78415,58,3,683,2000,233,151,733,-3951.764055,268.1208911,251.9976618,62.52711678,0 days 15:04:00.000000000,15.64148877
1339,176750,6328,42.91665,-59.04746,2,2018-12-10 22:23:00,Argos,0,518,NN,401677565.2,12-10-18 22:22,1,5,0,-130,401677565.2,-59.04746,42.91665,-59.04746,42.91665,50,3,304,423,218,106,285,-3746.987705,311.1615879,223.7887714,89.42539187,1 days 20:17:00.000000000,48.93238353
1351,176750,6328,42.41591,-58.54532,0,2018-12-12 10:20:00,Argos,0,320,SR,401677558.2,12-12-18 10:19,1,6,0,-128,401677558.2,-58.54532,42.41591,-58.54532,42.41591,40,3,1811,3421,958,115,320,-4538.5058,-83.68772218,-149.7209411,151.9248325,1 days 11:57:00.000000000,78.94182693
1361,176750,6328,42.35639,-58.57755,2,2018-12-12 12:34:00,Argos,0,470,NK,401677566.2,12-12-18 12:31,1,8,0,-128,401677566.2,-58.57755,42.35639,-58.57755,42.35639,56,3,367,483,278,66,261,-4521.20392,-147.4980727,-44.38988012,-134.6675222,0 days 02:14:00.000000000,7.534805382
1368,176750,6328,42.23958,-58.77725,0,2018-12-12 22:09:00,Argos,0,417,NK,401677564.8,12-12-18 22:09,1,4,0,-130,401677564.8,-58.77725,42.23958,-58.77725,42.23958,56,3,1980,74704,52,82,1960,-4644.485402,-62.94033893,-98.01839046,-103.4402895,0 days 09:35:00.000000000,25.75430061
1381,176750,6328,42.25815,-59.577,1,2018-12-14 23:58:00,Argos,0,0,MA,401650000,12-14-18 23:56,1,1,0,-125,401650000,-59.577,42.25815,-59.577,42.25815,48,3,1435,3293,625,47,354,-4520.35808,5.555350701,-96.46549078,-71.81116303,2 days 01:49:00.000000000,89.05208063
1386,176750,6328,42.29708,-59.55824,1,2018-12-15 1:37:00,Argos,0,301,MA,401677560.9,12-15-18 1:37,1,5,0,-126,401677560.9,-59.55824,42.29708,-59.55824,42.29708,58,3,741,3286,167,111,545,-4493.858324,2.493271881,-64.8239288,42.57983875,0 days 01:39:00.000000000,4.810619945
1391,176750,6328,42.7347,-59.30708,2,2018-12-15 23:03:00,Argos,0,516,NN,401677570.8,12-15-18 23:08,1,6,0,-123,401677570.8,-59.30708,42.7347,-59.30708,42.7347,50,3,334,1058,105,73,199,-4094.600501,227.084526,193.6288204,46.71226841,0 days 21:26:00.000000000,56.16886832
1392,176750,6328,42.73632,-59.30304,2,2018-12-15 23:03:00,Argos,0,516,NN,401677570.8,12-15-18 23:09,2,6,0,-123,401677570.8,-59.30304,42.73632,-59.30304,42.73632,50,3,428,1826,100,69,274,-4095.702858,225.8652989,191.1856194,85.11018208,0 days 00:00:00.000000000,0.48454213
1396,176750,6328,42.73044,-59.2969,2,2018-12-15 23:37:00,Argos,0,542,MA,401677565.6,12-15-18 23:36,1,12,0,-120,401677565.6,-59.2969,42.73044,-59.2969,42.73044,48,3,355,591,213,85,156,-4109.879669,235.5275649,186.4392466,150.7217514,0 days 00:34:00.000000000,0.946376228
1408,176750,6328,42.71117,-59.26737,1,2018-12-16 0:41:00,Argos,0,406,MB,401677569.8,12-16-18 0:41,1,6,0,-130,401677569.8,-59.26737,42.71117,-59.26737,42.71117,56,3,703,6587,75,71,774,-4158.230565,269.7705923,181.3958594,140.0864088,0 days 01:04:00.000000000,3.925275469
1410,176750,6328,42.70811,-59.27214,3,2018-12-16 0:46:00,Argos,0,599,NN,401677570,12-16-18 0:44,1,6,0,-130,401677570,-59.27214,42.70811,-59.27214,42.70811,56,2,158,198,125,58,308,-4159.303599,266.7609109,182.6871993,-105.7247268,0 days 00:05:00.000000000,0.630865652
1425,176750,6328,42.63891,-58.9013,1,2018-12-16 23:47:00,Argos,0,188,SR,401677567.1,12-16-18 23:46,1,4,0,-131,401677567.1,-58.9013,42.63891,-58.9013,42.63891,56,3,1211,6797,215,59,1337,-4189.565202,227.3243345,158.6201788,117.5250928,0 days 23:01:00.000000000,41.99445306
1429,176750,6328,42.63246,-58.89714,1,2018-12-16 23:55:00,Argos,0,0,NK,401677565.3,12-16-18 23:55,1,1,0,-135,401677565.3,-58.89714,42.63246,-58.89714,42.63246,56,3,1278,2615,623,31,870,-4196.3972,214.4335651,159.6250144,164.1237304,0 days 00:08:00.000000000,0.854398122
1433,176750,6328,42.6261,-58.88718,2,2018-12-17 0:40:00,Argos,0,324,NN,401677567.4,12-17-18 0:40,1,4,0,-128,401677567.4,-58.88718,42.6261,-58.88718,42.6261,58,3,404,911,179,50,433,-4207.334,198.7223847,160.2545942,139.5032013,0 days 00:45:00.000000000,1.315512906
1439,176750,6328,42.04915,-58.85629,1,2018-12-18 10:05:00,Argos,0,449,NK,401677566.4,12-18-18 10:01,1,6,0,-131,401677566.4,-58.85629,42.04915,-58.85629,42.04915,48,2,861,1058,700,33,275,-4746.6438,-10.88401919,-20.72825669,193.8766893,1 days 09:25:00.000000000,64.31799947
1444,176750,6328,42.05342,-59.1506,1,2018-12-18 22:36:00,Argos,0,225,NN,401677567.7,12-18-18 22:36,1,5,0,-129,401677567.7,-59.1506,42.05342,-59.1506,42.05342,50,3,1279,8209,199,78,1111,-4795.050374,40.00547591,-85.59451033,-72.35078768,0 days 12:31:00.000000000,32.76600551
1446,176750,6328,42.06501,-59.11742,1,2018-12-18 22:40:00,Argos,0,358,MA,401677571.5,12-18-18 22:37,1,5,0,-130,401677571.5,-59.11742,42.06501,-59.11742,42.06501,56,3,557,1833,169,112,680,-4737.774372,-35.52257847,-30.56665517,87.56098991,0 days 00:04:00.000000000,3.91244764
1450,176750,6328,42.06843,-59.13036,3,2018-12-18 22:45:00,Argos,0,438,SR,401677568.6,12-18-18 22:42,1,8,0,-121,401677568.6,-59.13036,42.06843,-59.13036,42.06843,56,3,231,965,55,98,211,-4746.522374,-17.62703592,-40.62684666,-58.37672993,0 days 00:05:00.000000000,1.489940969
1461,176750,6328,42.06872,-59.14061,0,2018-12-19 0:18:00,Argos,0,177,MA,401677568.9,12-19-18 0:18,1,4,0,-120,401677568.9,-59.14061,42.06872,-59.14061,42.06872,48,3,1755,14623,210,83,647,-4757.835276,0.805460364,-51.32305653,-71.56018504,0 days 01:33:00.000000000,1.141485487
1474,176750,6328,42.18402,-59.21045,1,2018-12-19 23:57:00,Argos,0,661,NN,401677571.1,12-20-18 0:02,1,6,0,-127,401677571.1,-59.21045,42.18402,-59.21045,42.18402,46,3,651,2345,180,69,301,-4648.985265,-34.25618643,-30.22310704,-14.38522786,0 days 23:39:00.000000000,15.00620043
1480,176750,6328,42.18966,-59.17275,1,2018-12-20 1:37:00,Argos,0,399,MA,401677567.6,12-20-18 1:35,1,5,0,-122,401677567.6,-59.17275,42.18966,-59.17275,42.18966,58,3,649,1599,262,42,383,-4665.853354,-24.59438619,-76.60757038,98.33390976,0 days 01:40:00.000000000,4.243463479
1497,176750,6328,41.98002,-59.16896,2,2018-12-22 1:19:00,Argos,0,347,NN,401677566.6,12-22-18 1:19,1,4,0,-130,401677566.6,-59.16896,41.98002,-59.16896,41.98002,56,3,463,979,219,49,683,-4825.740735,34.18980091,-81.42000818,195.8085141,1 days 23:42:00.000000000,23.3409156
1504,176750,6328,41.97605,-59.57273,1,2018-12-22 14:56:00,Argos,0,389,MA,401677567.4,12-22-18 14:49,1,5,0,-123,401677567.4,-59.57273,41.97605,-92.25264,48.21591,50,4,640,797,513,102,428,-4644.432542,-0.149234294,111.6457779,-73.76346398,0 days 13:37:00.000000000,44.94980548
1508,176750,6328,42.00237,-59.72858,1,2018-12-22 22:25:00,Argos,0,393,SR,401677571.4,12-22-18 22:23,1,8,0,-123,401677571.4,-59.72858,42.00237,-59.72858,42.00237,58,3,900,10589,76,97,567,-4574.447134,-67.81857396,-85.38972605,-63.62358426,0 days 07:29:00.000000000,17.59487047
1515,176750,6328,42.01294,-59.76736,1,2018-12-22 23:03:00,Argos,0,274,NK,401677569.6,12-22-18 23:01,1,4,0,-124,401677569.6,-59.76736,42.01294,-59.76736,42.01294,46,3,1296,4777,351,106,448,-4573.651004,-73.41195542,-131.9141109,-57.96243797,0 days 00:38:00.000000000,4.47446883
1519,176750,6328,42.01592,-59.76851,1,2018-12-22 23:22:00,Argos,0,722,NN,401677569.1,12-22-18 23:31,2,5,0,-128,401677569.1,-59.76851,42.01592,-59.76851,42.01592,46,3,1328,12015,146,78,542,-4574.12231,-71.85280506,-135.9076878,-4.309675333,0 days 00:19:00.000000000,0.355577762
1526,176750,6328,42.02983,-59.78272,0,2018-12-23 0:30:00,Argos,0,0,MA,401677568.3,12-23-18 0:30,1,1,0,-133,401677568.3,-59.78272,42.02983,-59.78272,42.02983,56,3,2154,26825,173,84,1215,-4579.691652,-59.85554421,-157.9735161,-28.81840887,0 days 01:08:00.000000000,2.213593188
