date,lat_bin,lon_bin,mmsi,fishing_hours
2016-11-02 00:00:00 UTC,0,7,627073000,6.891805555555556
2016-11-02 00:00:00 UTC,0,1615,419740410,2.5316666666666663
2016-11-02 00:00:00 UTC,256,570,422050600,0.38472222222222224
2016-11-02 00:00:00 UTC,256,573,422050600,2.1580555555555554
2016-11-02 00:00:00 UTC,512,15,235107334,1.2686111111111111
2016-11-02 00:00:00 UTC,512,14,235107334,0.97666666666666679
2016-11-02 00:00:00 UTC,512,-61,250001421,2.9265277777777778
2016-11-02 00:00:00 UTC,512,-62,250001421,3.9731944444444447
2016-11-02 00:00:00 UTC,512,21,227300110,4.3886111111111115
2016-11-02 00:00:00 UTC,512,-76,250000917,6.0486111111111107
2016-11-02 00:00:00 UTC,512,-77,250000917,0.90569444444444458
2016-11-02 00:00:00 UTC,512,-74,250001702,0.36124999999999996
2016-11-02 00:00:00 UTC,512,-77,250001702,3.3736111111111109
2016-11-02 00:00:00 UTC,512,-78,250001702,7.34486111111111
2016-11-02 00:00:00 UTC,512,-79,250001702,0.64027777777777772
2016-11-02 00:00:00 UTC,512,-76,250001702,2.7688888888888887
2016-11-02 00:00:00 UTC,512,-75,250001702,4.6363888888888889
2016-11-02 00:00:00 UTC,512,-104,250002475,5.57375
2016-11-02 00:00:00 UTC,512,-103,235096368,1.3536111111111109
2016-11-02 00:00:00 UTC,512,26,245331000,1.0926388888888887
2016-11-02 00:00:00 UTC,512,27,245331000,0.28930555555555559
2016-11-02 00:00:00 UTC,512,-66,250000957,1.5388888888888888
2016-11-02 00:00:00 UTC,512,-103,250000958,1.3723611111111111
2016-11-02 00:00:00 UTC,512,-102,250000958,6.6829166666666673
2016-11-02 00:00:00 UTC,512,-65,250365000,0.48250000000000004
2016-11-02 00:00:00 UTC,512,-66,250365000,1.2844444444444445
2016-11-02 00:00:00 UTC,512,-55,205149000,1.6370833333333332
2016-11-02 00:00:00 UTC,512,-54,205149000,0.28708333333333336
2016-11-02 00:00:00 UTC,512,-61,250003792,9.2405555555555559
2016-11-02 00:00:00 UTC,512,-62,250003792,5.1986111111111111
2016-11-02 00:00:00 UTC,512,-66,250002264,1.5583333333333333
2016-11-02 00:00:00 UTC,512,-104,228349800,1.3790277777777777
2016-11-02 00:00:00 UTC,512,-102,228349800,6.0276388888888892
2016-11-02 00:00:00 UTC,512,-103,228349800,3.1886111111111113
2016-11-02 00:00:00 UTC,512,24,227783530,1.8329166666666667
2016-11-02 00:00:00 UTC,512,-62,250470000,2.05
2016-11-02 00:00:00 UTC,512,-62,250001269,3.5625
2016-11-02 00:00:00 UTC,512,-61,250001269,2.4243055555555557
2016-11-02 00:00:00 UTC,512,-73,250116470,1.9455555555555555
2016-11-02 00:00:00 UTC,512,-72,250116470,10.66277777777778
2016-11-02 00:00:00 UTC,512,-71,250116470,0.32652777777777775
2016-11-02 00:00:00 UTC,512,23,227317370,0.86583333333333334
2016-11-02 00:00:00 UTC,512,24,227317370,2.2122222222222221
2016-11-02 00:00:00 UTC,512,17,228070800,3.4513888888888884
2016-11-02 00:00:00 UTC,512,16,228070800,0.55
2016-11-02 00:00:00 UTC,512,18,228070800,0.64569444444444457
2016-11-02 00:00:00 UTC,512,-47,235011218,2.8720833333333333
2016-11-02 00:00:00 UTC,512,-49,235011218,3.4611111111111112
2016-11-02 00:00:00 UTC,512,-48,235011218,1.0430555555555556
2016-11-02 00:00:00 UTC,512,-96,250223000,0.92125000000000012
2016-11-02 00:00:00 UTC,512,-97,250223000,1.6061111111111108
2016-11-02 00:00:00 UTC,512,-99,250223000,1.6984722222222222
2016-11-02 00:00:00 UTC,512,-100,250223000,1.0709722222222222
2016-11-02 00:00:00 UTC,512,-98,250223000,1.5130555555555554
2016-11-02 00:00:00 UTC,512,-47,235113634,3.5550000000000006
2016-11-02 00:00:00 UTC,512,-44,235113634,0.28708333333333336
2016-11-02 00:00:00 UTC,512,-45,235113634,1.1473611111111111
2016-11-02 00:00:00 UTC,512,-46,235113634,1.1580555555555556
2016-11-02 00:00:00 UTC,512,28,205273000,12.784444444444441
2016-11-02 00:00:00 UTC,512,-61,250003127,2.9305555555555558
2016-11-02 00:00:00 UTC,512,-63,250003127,2.6666666666666665
2016-11-02 00:00:00 UTC,512,-454,431395000,0.53888888888888886
2016-11-02 00:00:00 UTC,512,-453,431395000,0.8126388888888888
2016-11-02 00:00:00 UTC,512,-78,250002872,3.2218055555555556
2016-11-02 00:00:00 UTC,512,29,205315000,3.4969444444444449
2016-11-02 00:00:00 UTC,512,28,205315000,9.30972222222222
2016-11-02 00:00:00 UTC,512,21,205272000,4.065555555555556
2016-11-02 00:00:00 UTC,512,-80,250003659,6.4106944444444443
2016-11-02 00:00:00 UTC,512,-82,250003659,2.9263888888888889
2016-11-02 00:00:00 UTC,512,-83,250003659,2.0179166666666664
2016-11-02 00:00:00 UTC,512,-79,250003659,6.3623611111111114
2016-11-02 00:00:00 UTC,512,-81,250003659,3.55625
2016-11-02 00:00:00 UTC,512,-78,250003659,2.4579166666666667
2016-11-02 00:00:00 UTC,512,30,205026000,0.10263888888888889
2016-11-02 00:00:00 UTC,512,29,205026000,2.6790277777777787
2016-11-02 00:00:00 UTC,512,20,227141600,0.31541666666666668
2016-11-02 00:00:00 UTC,512,19,227141600,1.901388888888889
2016-11-02 00:00:00 UTC,512,28,205281000,0.62305555555555547
2016-11-02 00:00:00 UTC,512,29,205281000,9.3923611111111143
2016-11-02 00:00:00 UTC,512,27,246273000,0.26125
2016-11-02 00:00:00 UTC,512,26,246273000,6.222361111111109
2016-11-02 00:00:00 UTC,512,-455,431873000,0.66972222222222222
2016-11-02 00:00:00 UTC,512,-454,431873000,1.5401388888888889
2016-11-02 00:00:00 UTC,512,-453,431873000,1.2816666666666665
2016-11-02 00:00:00 UTC,512,29,205323000,3.5463888888888877
2016-11-02 00:00:00 UTC,512,28,205323000,1.1808333333333334
2016-11-02 00:00:00 UTC,512,30,205323000,0.2779166666666667
2016-11-02 00:00:00 UTC,512,-62,250002427,0.67222222222222228
2016-11-02 00:00:00 UTC,512,-94,250001151,4.5924999999999994
2016-11-02 00:00:00 UTC,512,-96,250001151,3.7184722222222226
2016-11-02 00:00:00 UTC,512,-95,250001151,4.4568055555555546
2016-11-02 00:00:00 UTC,768,224,259562000,1.6569444444444446
2016-11-02 00:00:00 UTC,768,232,273354820,1.6027777777777779
2016-11-02 00:00:00 UTC,768,228,273354820,1.5868055555555554
2016-11-02 00:00:00 UTC,768,230,273891000,4.8979166666666671
2016-11-02 00:00:00 UTC,768,138,273348570,1.6147222222222222
2016-11-02 00:00:00 UTC,768,204,273538800,0.87472222222222229
2016-11-02 00:00:00 UTC,-512,-619,224978000,1.4511111111111108
2016-11-02 00:00:00 UTC,-512,-620,224004000,2.3719444444444444
2016-11-02 00:00:00 UTC,-512,1668,512002236,3.2833333333333337
2016-11-02 00:00:00 UTC,-512,1665,512002236,0.68347222222222226
2016-11-02 00:00:00 UTC,-512,1669,512002236,1.9168055555555552
2016-11-02 00:00:00 UTC,-512,1666,512002236,3.5454166666666667
2016-11-02 00:00:00 UTC,-512,1661,512002236,1.2338888888888888
2016-11-02 00:00:00 UTC,-512,1663,512002236,1.7874999999999996
2016-11-02 00:00:00 UTC,-512,1662,512002236,1.6454166666666663
2016-11-02 00:00:00 UTC,-512,1664,512002236,3.8504166666666668
2016-11-02 00:00:00 UTC,-256,1531,503462200,8.3420833333333331
2016-11-02 00:00:00 UTC,-256,340,650204000,0.5806944444444444
2016-11-02 00:00:00 UTC,-256,341,650204000,2.4498611111111113
2016-11-02 00:00:00 UTC,-256,378,431602890,1.2541666666666667
2016-11-02 00:00:00 UTC,-256,376,431602890,1.1388888888888888
2016-11-02 00:00:00 UTC,-256,332,650134000,5.6059722222222215
2016-11-02 00:00:00 UTC,-256,333,650134000,1.4969444444444444
2016-11-02 00:00:00 UTC,1,17,627073000,8.37125
2016-11-02 00:00:00 UTC,1,673,416003315,5.2923611111111111
2016-11-02 00:00:00 UTC,257,-802,367718450,0.14375
2016-11-02 00:00:00 UTC,257,-801,367718450,2.4661111111111107
2016-11-02 00:00:00 UTC,257,1632,432558000,0.82777777777777783
2016-11-02 00:00:00 UTC,257,1631,432558000,0.43305555555555553
2016-11-02 00:00:00 UTC,257,1490,431200970,4.9668055555555553
2016-11-02 00:00:00 UTC,513,35,205632000,6.2674999999999992
2016-11-02 00:00:00 UTC,513,-62,250000141,1.896527777777778
2016-11-02 00:00:00 UTC,513,-63,250000141,1.3020833333333333
2016-11-02 00:00:00 UTC,513,-62,250001421,0.46944444444444444
2016-11-02 00:00:00 UTC,513,-63,250001421,1.3293055555555555
2016-11-02 00:00:00 UTC,513,-61,250001421,10.145833333333334
2016-11-02 00:00:00 UTC,513,-80,250000917,7.75625
2016-11-02 00:00:00 UTC,513,29,205236000,1.4718055555555556
2016-11-02 00:00:00 UTC,513,30,205236000,0.4201388888888889
2016-11-02 00:00:00 UTC,513,-61,232007970,3.1872222222222222
2016-11-02 00:00:00 UTC,513,-76,250001702,1.2447222222222223
2016-11-02 00:00:00 UTC,513,-75,250001702,1.5386111111111112
2016-11-02 00:00:00 UTC,513,-74,250001702,1.4040277777777779
2016-11-02 00:00:00 UTC,513,-77,250001702,0.95263888888888881
2016-11-02 00:00:00 UTC,513,-65,250103600,0.28486111111111112
2016-11-02 00:00:00 UTC,513,28,245331000,10.743472222222227
2016-11-02 00:00:00 UTC,513,29,245331000,0.79569444444444437
2016-11-02 00:00:00 UTC,513,27,245331000,4.9347222222222227
2016-11-02 00:00:00 UTC,513,-102,250000958,1.5779166666666669
2016-11-02 00:00:00 UTC,513,-54,205149000,3.25875
2016-11-02 00:00:00 UTC,513,-53,205149000,5.0045833333333327
2016-11-02 00:00:00 UTC,513,21,244221000,0.46583333333333332
2016-11-02 00:00:00 UTC,513,-61,250003792,4.8669444444444441
2016-11-02 00:00:00 UTC,513,-61,250002776,5.9015277777777779
2016-11-02 00:00:00 UTC,513,29,205308000,4.265416666666666
2016-11-02 00:00:00 UTC,513,30,205308000,0.83347222222222217
2016-11-02 00:00:00 UTC,513,-105,228349800,2.1402777777777779
2016-11-02 00:00:00 UTC,513,-102,228349800,6.7991666666666664
2016-11-02 00:00:00 UTC,513,-62,250470000,1.4429166666666666
2016-11-02 00:00:00 UTC,513,-63,250470000,0.47916666666666663
2016-11-02 00:00:00 UTC,513,-61,250001269,0.8206944444444445
2016-11-02 00:00:00 UTC,513,-71,250116470,0.95666666666666678
2016-11-02 00:00:00 UTC,513,-61,233883000,3.2781944444444444
2016-11-02 00:00:00 UTC,513,-62,233883000,1.7156944444444444
2016-11-02 00:00:00 UTC,513,30,205296000,0.98402777777777772
2016-11-02 00:00:00 UTC,513,29,205296000,4.2570833333333331
2016-11-02 00:00:00 UTC,513,17,228070800,1.608472222222223
2016-11-02 00:00:00 UTC,513,16,235105964,0.64569444444444446
2016-11-02 00:00:00 UTC,513,15,235105964,0.71472222222222226
2016-11-02 00:00:00 UTC,513,17,235105964,1.6183333333333334
2016-11-02 00:00:00 UTC,513,14,235105964,0.63930555555555557
2016-11-02 00:00:00 UTC,513,37,245710000,0.33055555555555555
2016-11-02 00:00:00 UTC,513,-63,250003127,2.916666666666667
2016-11-02 00:00:00 UTC,513,-61,250003127,2.4193055555555558
2016-11-02 00:00:00 UTC,513,-147,232006840,6.6981944444444448
2016-11-02 00:00:00 UTC,513,-453,431395000,1.6270833333333332
2016-11-02 00:00:00 UTC,513,-454,431395000,0.39152777777777781
2016-11-02 00:00:00 UTC,513,-77,250002872,1.45
2016-11-02 00:00:00 UTC,513,-78,250002872,0.31513888888888886
2016-11-02 00:00:00 UTC,513,-76,250002872,2.6390277777777778
2016-11-02 00:00:00 UTC,513,30,205026000,2.5059722222222223
2016-11-02 00:00:00 UTC,513,31,205026000,7.5784722222222225
2016-11-02 00:00:00 UTC,513,21,245473000,0.5115277777777778
2016-11-02 00:00:00 UTC,513,28,246273000,7.3304166666666664
2016-11-02 00:00:00 UTC,513,26,246273000,0.27013888888888887
2016-11-02 00:00:00 UTC,513,29,246273000,2.200277777777778
2016-11-02 00:00:00 UTC,513,27,246273000,3.6076388888888893
2016-11-02 00:00:00 UTC,513,-454,431873000,1.2176388888888889
2016-11-02 00:00:00 UTC,513,-455,431873000,1.2597222222222222
2016-11-02 00:00:00 UTC,513,-61,250000626,0.31375
2016-11-02 00:00:00 UTC,513,37,205291000,1.7237500000000001
2016-11-02 00:00:00 UTC,513,30,205323000,1.4748611111111112
2016-11-02 00:00:00 UTC,513,29,205323000,5.9420833333333336
2016-11-02 00:00:00 UTC,769,203,273355780,4.1829166666666673
2016-11-02 00:00:00 UTC,769,204,273355780,3.2231944444444447
2016-11-02 00:00:00 UTC,769,224,259562000,1.6023611111111111
2016-11-02 00:00:00 UTC,769,225,259562000,3.2908333333333331
2016-11-02 00:00:00 UTC,769,227,259562000,1.6320833333333331
